Date,Open,High,Low,Close,Adj Close,Volume
2022-07-06,5.570000,5.660000,5.410000,5.580000,5.580000,135900
2022-07-07,5.580000,5.890000,5.580000,5.870000,5.870000,135900
2022-07-08,5.860000,6.220000,5.860000,6.060000,6.060000,168000
2022-07-11,6.070000,6.120000,5.860000,5.890000,5.890000,100300
2022-07-12,5.830000,6.420000,5.830000,6.190000,6.190000,424000
2022-07-13,6.170000,6.300000,6.080000,6.080000,6.080000,179100
2022-07-14,6.020000,6.060000,5.920000,5.980000,5.980000,142100
2022-07-15,6.080000,6.260000,5.990000,6.200000,6.200000,159700
2022-07-18,6.310000,6.580000,6.290000,6.370000,6.370000,187400
2022-07-19,6.530000,6.630000,6.380000,6.610000,6.610000,110700
2022-07-20,6.660000,6.840000,6.570000,6.810000,6.810000,84700
2022-07-21,6.800000,6.930000,6.650000,6.910000,6.910000,102300
2022-07-22,6.880000,7.040000,6.800000,6.890000,6.890000,129600
2022-07-25,6.890000,6.950000,6.760000,6.860000,6.860000,113100
2022-07-26,6.860000,6.860000,6.730000,6.800000,6.800000,64600
2022-07-27,6.890000,6.950000,6.780000,6.920000,6.920000,94500
2022-07-28,6.950000,7.180000,6.880000,7.130000,7.130000,110200
2022-07-29,7.070000,7.740000,7.020000,7.700000,7.700000,214800
2022-08-01,7.690000,7.690000,7.350000,7.360000,7.360000,156500
2022-08-02,7.310000,7.340000,7.210000,7.260000,7.260000,86800
2022-08-03,7.300000,7.510000,7.300000,7.450000,7.450000,96600
2022-08-04,7.480000,7.640000,7.420000,7.530000,7.530000,132700
2022-08-05,7.430000,7.630000,6.800000,7.500000,7.500000,263800
2022-08-08,7.490000,7.760000,7.430000,7.610000,7.610000,128500
2022-08-09,7.560000,7.560000,7.150000,7.260000,7.260000,131000
2022-08-10,7.300000,7.500000,7.280000,7.460000,7.460000,88600
2022-08-11,7.520000,7.720000,7.510000,7.600000,7.600000,100800
2022-08-12,7.590000,7.670000,7.490000,7.650000,7.650000,91500
2022-08-15,7.640000,7.640000,7.380000,7.520000,7.520000,113600
2022-08-16,7.510000,7.540000,7.390000,7.410000,7.410000,89700
2022-08-17,7.230000,7.260000,7.080000,7.150000,7.150000,85900
2022-08-18,7.150000,7.350000,7.140000,7.350000,7.350000,56500
2022-08-19,7.210000,7.360000,7.120000,7.350000,7.350000,166900
2022-08-22,7.190000,7.280000,6.990000,7.100000,7.100000,73600
2022-08-23,7.060000,7.170000,6.980000,7.000000,7.000000,37200
2022-08-24,7.070000,7.180000,6.990000,7.140000,7.140000,81200
2022-08-25,7.160000,7.280000,7.110000,7.150000,7.150000,83300
2022-08-26,7.230000,7.230000,6.840000,6.870000,6.870000,132000
2022-08-29,6.810000,6.810000,6.620000,6.650000,6.650000,100200
2022-08-30,6.720000,6.720000,6.550000,6.650000,6.650000,70400
2022-08-31,6.640000,6.700000,6.470000,6.530000,6.530000,91200
