Date,Open,High,Low,Close,Adj Close,Volume
2022-07-06,6.530000,6.620000,6.300000,6.370000,6.370000,25700
2022-07-07,6.450000,6.820000,6.380000,6.770000,6.770000,54800
2022-07-08,6.840000,6.950000,6.660000,6.700000,6.700000,46000
2022-07-11,6.700000,6.750000,6.420000,6.460000,6.460000,21400
2022-07-12,6.530000,6.530000,6.350000,6.380000,6.380000,31300
2022-07-13,6.300000,6.480000,6.300000,6.380000,6.380000,62400
2022-07-14,6.340000,6.780000,6.070000,6.720000,6.720000,42600
2022-07-15,6.860000,6.960000,6.660000,6.780000,6.780000,56000
2022-07-18,7.230000,7.570000,7.020000,7.060000,7.060000,113300
2022-07-19,7.150000,7.200000,6.900000,7.000000,7.000000,73900
2022-07-20,7.070000,7.350000,7.070000,7.280000,7.280000,32000
2022-07-21,7.290000,7.700000,7.100000,7.700000,7.700000,52300
2022-07-22,7.750000,7.750000,7.110000,7.230000,7.230000,41900
2022-07-25,7.180000,7.400000,7.180000,7.390000,7.390000,20600
2022-07-26,7.290000,7.340000,7.050000,7.300000,7.300000,32600
2022-07-27,7.440000,7.440000,7.080000,7.230000,7.230000,35400
2022-07-28,7.274000,7.640000,7.070000,7.550000,7.550000,34600
2022-07-29,7.940000,9.220000,7.750000,8.830000,8.830000,247900
2022-08-01,8.740000,9.130000,8.361000,8.640000,8.640000,91400
2022-08-02,8.400000,9.114000,8.400000,9.010000,9.010000,126200
2022-08-03,9.200000,9.710000,8.670000,9.500000,9.500000,87200
2022-08-04,9.620000,9.620000,9.200000,9.370000,9.370000,26200
2022-08-05,9.180000,9.350000,9.140000,9.140000,9.140000,13700
2022-08-08,9.400000,9.545000,9.010000,9.500000,9.500000,71800
2022-08-09,9.330000,9.490000,8.580000,8.660000,8.660000,38500
2022-08-10,8.740000,9.020000,8.740000,8.810000,8.810000,26400
2022-08-11,8.810000,9.220000,8.650000,8.790000,8.790000,18900
2022-08-12,8.800000,9.240000,8.520000,9.200000,9.200000,38600
2022-08-15,9.060000,9.228000,8.800000,8.950000,8.950000,17500
2022-08-16,8.890000,8.920000,8.647000,8.710000,8.710000,38700
2022-08-17,8.760000,8.760000,8.320000,8.330000,8.330000,24400
2022-08-18,8.310000,8.310000,7.710000,8.130000,8.130000,64400
2022-08-19,8.100000,8.100000,7.640000,7.860000,7.860000,49800
2022-08-22,8.170000,8.250000,7.650000,8.100000,8.100000,24900
2022-08-23,8.090000,8.190000,7.920000,8.180000,8.180000,40300
2022-08-24,8.395000,8.400000,8.020000,8.210000,8.210000,37200
2022-08-25,8.250000,8.410000,7.780000,7.980000,7.980000,15000
2022-08-26,8.060000,8.170000,7.460000,7.560000,7.560000,14500
2022-08-29,7.720000,7.800000,7.500000,7.520000,7.520000,21900
2022-08-30,7.720000,7.720000,7.350000,7.470000,7.470000,21900
2022-08-31,7.520000,7.650000,7.010000,7.250000,7.250000,83400
2022-09-01,7.070000,7.750000,7.070000,7.210000,7.210000,27900
2022-09-02,7.290000,7.440000,7.100000,7.200000,7.200000,26400
2022-09-06,7.210000,7.520000,7.210000,7.520000,7.520000,47100
2022-09-07,7.540000,7.870000,7.350000,7.790000,7.790000,16400
2022-09-08,7.710000,8.490000,7.510000,8.300000,8.300000,57100
