Date,Open,High,Low,Close,Adj Close,Volume
2022-07-06,2.040000,2.115000,1.950000,2.050000,2.050000,619100
2022-07-07,2.060000,2.200000,2.010000,2.110000,2.110000,640300
2022-07-08,2.100000,2.150000,2.015000,2.080000,2.080000,356300
2022-07-11,2.050000,2.059000,1.960000,1.970000,1.970000,378800
2022-07-12,1.960000,2.045000,1.920000,2.040000,2.040000,388700
2022-07-13,2.040000,2.115000,1.990000,2.010000,2.010000,311000
2022-07-14,2.000000,2.010000,1.860000,1.870000,1.870000,467900
2022-07-15,1.970000,1.970000,1.805000,1.900000,1.900000,452900
2022-07-18,1.950000,2.090000,1.920000,2.010000,2.010000,508500
2022-07-19,2.010000,2.380000,2.010000,2.360000,2.360000,1308400
2022-07-20,2.410000,2.420000,2.260000,2.290000,2.290000,696900
2022-07-21,2.330000,2.330000,2.120000,2.140000,2.140000,410900
2022-07-22,2.120000,2.130000,2.000000,2.010000,2.010000,434300
2022-07-25,2.010000,2.020000,1.890000,1.920000,1.920000,374400
2022-07-26,1.920000,2.025000,1.855000,1.960000,1.960000,329600
2022-07-27,2.010000,2.170000,1.950000,2.140000,2.140000,586500
2022-07-28,2.140000,2.250000,2.070000,2.220000,2.220000,532600
2022-07-29,2.210000,2.450000,2.170000,2.240000,2.240000,958100
2022-08-01,2.240000,2.250000,2.130000,2.230000,2.230000,293400
2022-08-02,2.220000,2.440000,2.180000,2.390000,2.390000,478000
2022-08-03,2.360000,2.550000,2.350000,2.540000,2.540000,377800
2022-08-04,2.550000,2.640000,2.530000,2.580000,2.580000,347300
2022-08-05,2.550000,2.615000,2.480000,2.610000,2.610000,338100
2022-08-08,2.640000,2.650000,2.435000,2.460000,2.460000,386000
2022-08-09,2.460000,2.470000,2.310000,2.360000,2.360000,278500
2022-08-10,2.420000,2.650000,2.410000,2.600000,2.600000,620500
2022-08-11,2.620000,2.720000,2.530000,2.640000,2.640000,822100
2022-08-12,2.700000,2.700000,2.610000,2.650000,2.650000,330500
2022-08-15,2.670000,2.960000,2.640000,2.950000,2.950000,1249300
2022-08-16,2.710000,2.900000,2.220000,2.240000,2.240000,2219300
2022-08-17,2.310000,2.310000,1.990000,2.060000,2.060000,1261000
2022-08-18,2.040000,2.050000,1.840000,1.850000,1.850000,2002000
2022-08-19,1.820000,1.870000,1.790000,1.795000,1.795000,563300
2022-08-22,1.800000,1.830000,1.700000,1.770000,1.770000,1117700
2022-08-23,1.740000,1.830000,1.700000,1.720000,1.720000,869500
2022-08-24,1.770000,1.800000,1.720000,1.750000,1.750000,799600
2022-08-25,1.750000,1.805000,1.740000,1.790000,1.790000,697200
2022-08-26,1.800000,1.825000,1.725000,1.770000,1.770000,702000
2022-08-29,1.740000,1.790000,1.650000,1.670000,1.670000,662700
2022-08-30,1.670000,1.710000,1.620000,1.640000,1.640000,856200
2022-08-31,1.640000,1.680000,1.510000,1.540000,1.540000,3261400
2022-09-01,1.510000,1.550000,1.480000,1.520000,1.520000,901000
2022-09-02,1.540000,1.570000,1.480000,1.500000,1.500000,686000
2022-09-06,1.520000,1.590000,1.475000,1.530000,1.530000,644400
2022-09-07,1.560000,1.645000,1.530000,1.600000,1.600000,664300
2022-09-08,1.600000,1.600000,1.420000,1.460000,1.460000,832100
2022-09-09,1.480000,1.540000,1.480000,1.510000,1.510000,640900
2022-09-12,1.510000,1.580000,1.470000,1.540000,1.540000,646200
2022-09-13,1.510000,1.520000,1.410000,1.420000,1.420000,523900
2022-09-14,1.430000,1.460000,1.360000,1.440000,1.440000,670500
2022-09-15,1.440000,1.460000,1.380000,1.380000,1.380000,556700
2022-09-16,1.380000,1.390000,1.300000,1.330000,1.330000,1113200
2022-09-19,1.330000,1.390000,1.260000,1.310000,1.310000,574200
2022-09-20,1.320000,1.320000,1.220000,1.240000,1.240000,440300
2022-09-21,1.240000,1.240000,1.160000,1.180000,1.180000,477800
2022-09-22,1.180000,1.420000,1.100000,1.160000,1.160000,4577400
2022-09-23,1.100000,1.230000,1.064000,1.220000,1.220000,1025600
2022-09-26,1.220000,1.255000,1.170000,1.190000,1.190000,428600
2022-09-27,1.180000,1.225000,1.140000,1.170000,1.170000,419000
2022-09-28,1.160000,1.250000,1.150000,1.220000,1.220000,466100
2022-09-29,1.220000,1.220000,1.110000,1.130000,1.130000,402200
2022-09-30,1.140000,1.190000,1.100000,1.110000,1.110000,377300
2022-10-03,1.140000,1.150000,1.060000,1.110000,1.110000,505700
2022-10-04,1.190000,1.190000,1.120000,1.150000,1.150000,726100
2022-10-05,1.150000,1.180000,1.085000,1.170000,1.170000,458600
2022-10-06,1.130000,1.190000,1.130000,1.180000,1.180000,389200
2022-10-07,1.160000,1.190000,1.150000,1.170000,1.170000,244600
2022-10-10,1.180000,1.180000,1.120000,1.140000,1.140000,382000
2022-10-11,1.140000,1.140000,1.060000,1.070000,1.070000,391500
2022-10-12,1.080000,1.080000,1.009000,1.040000,1.040000,402900
2022-10-13,1.020000,1.040000,0.955000,1.020000,1.020000,487800
2022-10-14,1.030000,1.030000,0.868000,0.896000,0.896000,855700
2022-10-17,0.941000,0.941000,0.812000,0.848000,0.848000,1034500
2022-10-18,0.850000,0.869000,0.797000,0.850000,0.850000,672400
2022-10-19,0.854000,0.854000,0.809000,0.831000,0.831000,519700
2022-10-20,0.833000,0.890000,0.820000,0.845000,0.845000,398800
2022-10-21,0.860000,0.860000,0.815000,0.840000,0.840000,408900
2022-10-24,0.870000,0.870000,0.810000,0.835000,0.835000,379200
2022-10-25,0.840000,0.914000,0.830000,0.900000,0.900000,587200
2022-10-26,0.900000,0.963000,0.870000,0.925000,0.925000,568300
2022-10-27,0.925000,0.955000,0.875000,0.877000,0.877000,220900
2022-10-28,0.870000,0.930000,0.868000,0.900000,0.900000,360500
2022-10-31,0.900000,0.925000,0.860000,0.871000,0.871000,251600
2022-11-01,0.897000,0.920000,0.877000,0.892000,0.892000,324600
2022-11-02,0.872000,0.898000,0.790000,0.816000,0.816000,649600
2022-11-03,0.850000,0.860000,0.800000,0.818000,0.818000,271400
2022-11-04,0.850000,0.850000,0.760000,0.780000,0.780000,420400
2022-11-07,0.800000,0.800000,0.760000,0.790000,0.790000,336200
2022-11-08,0.799000,0.860000,0.790000,0.801000,0.801000,766700
2022-11-09,0.813000,0.850000,0.753000,0.760000,0.760000,417600
2022-11-10,0.793000,0.810000,0.761000,0.785000,0.785000,707200
2022-11-11,0.800000,0.830000,0.780000,0.794000,0.794000,788300
2022-11-14,0.810000,0.890000,0.790000,0.859000,0.859000,1085300
2022-11-15,0.860000,1.100000,0.860000,0.960000,0.960000,2099500
2022-11-16,0.973000,0.986000,0.858000,0.873000,0.873000,1131500
2022-11-17,0.840000,0.880000,0.830000,0.849000,0.849000,503500
2022-11-18,0.880000,0.940000,0.840000,0.851000,0.851000,741000
2022-11-21,0.830000,0.850000,0.670000,0.753000,0.753000,1315700
2022-11-22,0.773000,0.780000,0.722000,0.770000,0.770000,412200
2022-11-23,0.783000,0.849000,0.750000,0.833000,0.833000,358900
2022-11-25,0.835000,1.300000,0.835000,1.250000,1.250000,14285400
2022-11-28,1.120000,1.160000,1.100000,1.140000,1.140000,2279900
2022-11-29,1.100000,1.100000,0.874000,0.911000,0.911000,1715900
2022-11-30,0.933000,0.975000,0.858000,0.890000,0.890000,2712000
2022-12-01,0.915000,0.992000,0.907000,0.911000,0.911000,787900
2022-12-02,0.893000,1.110000,0.890000,1.090000,1.090000,1240000
2022-12-05,1.100000,1.130000,1.020000,1.040000,1.040000,925800
2022-12-06,1.020000,1.040000,0.924000,0.943000,0.943000,612100
2022-12-07,0.950000,1.010000,0.913000,0.914000,0.914000,667300
2022-12-08,0.958000,0.958000,0.875000,0.900000,0.900000,673800
2022-12-09,0.910000,1.030000,0.880000,0.935000,0.935000,451600
2022-12-12,0.900000,0.948000,0.880000,0.889000,0.889000,523400
