Date,Open,High,Low,Close,Adj Close,Volume
2022-07-06,3.320000,3.320000,3.090000,3.180000,3.180000,59800
2022-07-07,3.220000,3.650000,3.220000,3.630000,3.630000,118500
2022-07-08,3.630000,3.690000,3.490000,3.610000,3.610000,87900
2022-07-11,3.630000,3.630000,3.430000,3.450000,3.450000,67000
2022-07-12,3.400000,3.630000,3.290000,3.500000,3.500000,73500
2022-07-13,3.450000,3.950000,3.450000,3.700000,3.700000,167400
2022-07-14,3.640000,4.080000,3.640000,3.950000,3.950000,235300
2022-07-15,4.090000,4.090000,3.870000,3.900000,3.900000,96600
2022-07-18,3.980000,4.080000,3.430000,3.640000,3.640000,343700
2022-07-19,4.390000,4.560000,3.790000,3.810000,3.810000,26633200
2022-07-20,3.540000,3.755000,3.380000,3.630000,3.630000,1248600
2022-07-21,3.560000,3.630000,3.460000,3.480000,3.480000,349500
2022-07-22,3.470000,3.700000,3.360000,3.470000,3.470000,480400
2022-07-25,3.520000,3.590000,3.350000,3.560000,3.560000,264100
2022-07-26,3.500000,3.870000,3.430000,3.820000,3.820000,278300
2022-07-27,3.820000,4.070000,3.750000,4.040000,4.040000,314500
2022-07-28,4.000000,4.080000,3.840000,4.030000,4.030000,201500
2022-07-29,4.050000,4.230000,3.920000,4.170000,4.170000,183600
2022-08-01,4.110000,4.250000,3.870000,4.250000,4.250000,585600
2022-08-02,4.310000,4.430000,4.163000,4.250000,4.250000,295600
2022-08-03,4.340000,4.370000,4.211000,4.310000,4.310000,304500
2022-08-04,4.340000,4.535000,4.240000,4.410000,4.410000,277800
2022-08-05,4.450000,4.670000,4.370000,4.660000,4.660000,194600
2022-08-08,4.710000,4.710000,4.200000,4.270000,4.270000,307500
2022-08-09,4.230000,4.284000,4.150000,4.260000,4.260000,179000
2022-08-10,4.380000,4.474000,4.300000,4.400000,4.400000,206900
2022-08-11,4.470000,4.570000,4.402000,4.470000,4.470000,86800
2022-08-12,4.470000,4.520000,4.375000,4.460000,4.460000,120400
2022-08-15,4.490000,4.545000,4.360000,4.400000,4.400000,94900
2022-08-16,4.370000,4.450000,4.280000,4.310000,4.310000,70600
2022-08-17,4.290000,4.380000,4.110000,4.300000,4.300000,97400
2022-08-18,4.300000,4.350000,4.200000,4.220000,4.220000,84400
2022-08-19,4.130000,4.250000,4.120000,4.160000,4.160000,77400
2022-08-22,4.070000,4.210000,4.060000,4.100000,4.100000,85400
2022-08-23,4.250000,4.250000,4.130000,4.210000,4.210000,63600
2022-08-24,4.200000,4.250000,4.165000,4.200000,4.200000,62700
2022-08-25,4.260000,4.330000,4.150000,4.180000,4.180000,48900
2022-08-26,4.200000,4.250000,4.120000,4.150000,4.150000,94400
2022-08-29,4.060000,4.187000,3.880000,3.880000,3.880000,84700
2022-08-30,3.850000,4.000000,3.610000,3.700000,3.700000,159300
2022-08-31,3.730000,3.850000,3.570000,3.570000,3.570000,78700
2022-09-01,3.560000,3.590000,3.450000,3.510000,3.510000,79700
2022-09-02,3.590000,3.590000,3.270000,3.480000,3.480000,139100
2022-09-06,3.330000,3.420000,3.250000,3.330000,3.330000,66700
2022-09-07,3.290000,3.290000,3.140000,3.160000,3.160000,93300
2022-09-08,3.160000,3.350000,3.160000,3.290000,3.290000,48200
2022-09-09,3.290000,3.480000,3.290000,3.400000,3.400000,51300
2022-09-12,3.400000,3.450000,3.290000,3.290000,3.290000,92000
2022-09-13,3.370000,3.380000,3.110000,3.170000,3.170000,45600
2022-09-14,3.220000,3.250000,3.020000,3.050000,3.050000,79100
2022-09-15,3.030000,3.150000,2.870000,2.940000,2.940000,92000
2022-09-16,2.950000,3.000000,2.810000,2.860000,2.860000,51400
2022-09-19,2.810000,2.872000,2.780000,2.840000,2.840000,45800
2022-09-20,2.880000,2.880000,2.590000,2.710000,2.710000,284700
2022-09-21,2.690000,2.690000,2.540000,2.630000,2.630000,112000
2022-09-22,2.630000,2.660000,2.540000,2.650000,2.650000,183300
2022-09-23,2.610000,2.650000,2.260000,2.350000,2.350000,128800
2022-09-26,2.290000,2.425000,2.270000,2.360000,2.360000,112200
2022-09-27,2.420000,2.490000,2.070000,2.380000,2.380000,288900
2022-09-28,2.380000,3.000000,2.340000,2.900000,2.900000,418600
2022-09-29,2.840000,2.970000,2.690000,2.910000,2.910000,161600
2022-09-30,2.950000,3.400000,2.790000,3.180000,3.180000,211800
2022-10-03,3.190000,3.270000,3.040000,3.090000,3.090000,262200
2022-10-04,3.100000,3.310000,3.100000,3.270000,3.270000,307600
2022-10-05,3.150000,3.400000,3.140000,3.330000,3.330000,67400
2022-10-06,3.280000,3.340000,3.040000,3.120000,3.120000,82100
2022-10-07,3.090000,3.139000,2.850000,2.870000,2.870000,86500
2022-10-10,2.920000,3.020000,2.800000,2.880000,2.880000,77900
2022-10-11,2.958000,2.958000,2.750000,2.850000,2.850000,58700
2022-10-12,2.910000,2.910000,2.760000,2.810000,2.810000,37000
2022-10-13,2.710000,2.920000,2.660000,2.740000,2.740000,144500
2022-10-14,2.720000,2.800000,2.620000,2.750000,2.750000,139900
2022-10-17,2.800000,3.090000,2.760000,3.000000,3.000000,101900
2022-10-18,3.120000,3.226000,2.960000,3.030000,3.030000,131100
2022-10-19,2.960000,3.030000,2.875000,2.880000,2.880000,144200
2022-10-20,2.880000,2.930000,2.830000,2.830000,2.830000,40400
2022-10-21,2.840000,3.040000,2.710000,3.000000,3.000000,91600
2022-10-24,2.950000,3.210000,2.850000,3.180000,3.180000,81600
2022-10-25,3.210000,3.355000,3.090000,3.250000,3.250000,153500
2022-10-26,3.330000,3.550000,3.282000,3.410000,3.410000,81000
2022-10-27,3.420000,3.423000,3.140000,3.260000,3.260000,81900
2022-10-28,3.330000,3.330000,3.100000,3.270000,3.270000,97000
2022-10-31,3.340000,3.380000,3.090000,3.330000,3.330000,85300
2022-11-01,3.370000,3.520000,3.210000,3.460000,3.460000,69400
2022-11-02,3.500000,3.630000,3.360000,3.440000,3.440000,131300
2022-11-03,3.370000,3.560000,3.320000,3.480000,3.480000,69900
2022-11-04,3.450000,3.640000,3.265000,3.580000,3.580000,97900
2022-11-07,3.620000,3.710000,3.415000,3.700000,3.700000,310800
2022-11-08,4.010000,4.250000,3.540000,3.720000,3.720000,288400
2022-11-09,3.670000,4.100000,3.640000,4.000000,4.000000,132400
2022-11-10,4.080000,4.380000,4.041000,4.300000,4.300000,194000
2022-11-11,4.330000,4.700000,3.950000,4.700000,4.700000,313700
2022-11-14,4.730000,4.750000,4.280000,4.680000,4.680000,108100
2022-11-15,4.750000,4.930000,4.536000,4.900000,4.900000,205900
2022-11-16,4.900000,5.010000,4.800000,5.000000,5.000000,168000
2022-11-17,4.990000,5.800000,4.950000,5.700000,5.700000,872600
2022-11-18,5.960000,5.960000,5.630000,5.780000,5.780000,274600
2022-11-21,5.780000,5.790000,4.760000,5.420000,5.420000,367100
2022-11-22,5.430000,5.557000,5.340000,5.480000,5.480000,151800
2022-11-23,5.480000,5.560000,5.100000,5.200000,5.200000,276300
2022-11-25,5.220000,5.630000,5.208000,5.490000,5.490000,45000
2022-11-28,5.490000,5.980000,5.455000,5.850000,5.850000,380900
2022-11-29,5.950000,6.260000,5.750000,6.000000,6.000000,356700
2022-11-30,6.020000,6.300000,5.900000,6.280000,6.280000,214200
2022-12-01,6.310000,6.730000,6.140000,6.200000,6.200000,541700
2022-12-02,6.060000,6.449000,5.999000,6.190000,6.190000,193100
2022-12-05,6.250000,6.319000,6.100000,6.200000,6.200000,232100
2022-12-06,6.170000,6.280000,5.670000,6.030000,6.030000,345400
2022-12-07,6.020000,6.458000,5.990000,6.240000,6.240000,281400
2022-12-08,6.290000,6.320000,6.080000,6.200000,6.200000,146100
2022-12-09,6.230000,6.600000,6.145000,6.410000,6.410000,259700
2022-12-12,6.500000,6.600000,6.200000,6.560000,6.560000,126000
2022-12-13,6.740000,6.880000,6.680000,6.770000,6.770000,177200
2022-12-14,6.790000,6.920000,6.560000,6.840000,6.840000,147300
2022-12-15,6.830000,6.830000,6.550000,6.630000,6.630000,103700
2022-12-16,6.510000,6.780000,6.310000,6.500000,6.500000,189300
2022-12-19,6.600000,6.700000,6.070000,6.120000,6.120000,361700
2022-12-20,6.050000,6.350000,5.805000,6.250000,6.250000,538600
2022-12-21,6.270000,6.355000,6.020000,6.260000,6.260000,120200
2022-12-22,6.180000,6.260000,5.700000,6.070000,6.070000,248900
2022-12-23,6.060000,6.135000,5.930000,5.970000,5.970000,111400
2022-12-27,6.020000,6.050000,5.760000,5.920000,5.920000,152500
2022-12-28,6.000000,6.440000,5.920000,6.310000,6.310000,199700
2022-12-29,6.300000,6.700000,6.250000,6.560000,6.560000,198300
2022-12-30,6.460000,6.900000,6.300000,6.870000,6.870000,135500
2023-01-03,6.890000,6.930000,6.570000,6.600000,6.600000,211200
2023-01-04,6.710000,6.880000,6.610000,6.710000,6.710000,182200
2023-01-05,6.690000,6.690000,6.080000,6.380000,6.380000,432100
2023-01-06,6.390000,6.690000,6.240000,6.610000,6.610000,146700
2023-01-09,6.670000,6.870000,6.520000,6.550000,6.550000,414100
2023-01-10,6.720000,6.952000,6.460000,6.490000,6.490000,307800
2023-01-11,6.570000,6.680000,6.052000,6.110000,6.110000,294100
2023-01-12,6.200000,6.370000,5.970000,6.300000,6.300000,249300
2023-01-13,6.270000,6.360000,6.120000,6.270000,6.270000,222400
2023-01-17,6.190000,6.430000,6.040000,6.170000,6.170000,240900
2023-01-18,6.100000,6.230000,5.820000,5.840000,5.840000,342200
2023-01-19,6.050000,6.050000,5.710000,5.730000,5.730000,276600
2023-01-20,5.730000,6.030000,5.710000,6.030000,6.030000,205400
2023-01-23,6.010000,6.170000,5.750000,5.830000,5.830000,165600
2023-01-24,5.820000,5.950000,5.780000,5.890000,5.890000,67400
2023-01-25,5.880000,6.070000,5.855000,5.930000,5.930000,80400
2023-01-26,5.970000,6.089000,5.720000,5.830000,5.830000,148300
2023-01-27,5.830000,5.980000,5.765000,5.800000,5.800000,144800
2023-01-30,5.780000,5.895000,5.750000,5.840000,5.840000,51600
2023-01-31,5.850000,5.980000,5.840000,5.880000,5.880000,51800
2023-02-01,5.920000,6.210000,5.865000,6.180000,6.180000,165000
2023-02-02,6.230000,6.430000,6.230000,6.390000,6.390000,209700
2023-02-03,6.380000,6.630000,6.330000,6.430000,6.430000,247700
2023-02-06,6.430000,6.430000,6.090000,6.100000,6.100000,117000
