Date,Price,Open,High,Low,Vol.,Change %
6/1/2023,103.16,104.15,104.5,101.92,,-1.12%
5/1/2023,104.33,101.67,104.7,101.03,,2.62%
4/1/2023,101.66,102.59,103.06,100.79,,-0.83%
3/1/2023,102.51,105.04,105.88,101.92,,-2.25%
2/1/2023,104.87,102.1,105.36,100.82,,2.72%
1/1/2023,102.1,103.66,105.63,101.5,,-1.38%
12/1/2022,103.52,105.7,105.9,103.39,,-2.29%
11/1/2022,105.95,111.52,113.15,105.32,,-5.00%
10/1/2022,111.53,112.17,113.94,109.54,,-0.53%
9/1/2022,112.12,108.84,114.78,107.68,,3.14%
8/1/2022,108.7,105.83,109.48,104.64,,2.64%
7/1/2022,105.9,104.78,109.29,104.74,,1.16%
6/1/2022,104.68,101.76,105.79,101.64,,2.88%
5/1/2022,101.75,103.21,105,101.3,,-1.17%
4/1/2022,102.96,98.33,103.93,98.31,,4.73%
3/1/2022,98.31,96.76,99.42,96.63,,1.66%
2/1/2022,96.71,96.7,97.74,95.14,,0.17%
1/1/2022,96.54,95.67,97.44,94.63,,0.60%
12/1/2021,95.97,95.94,96.91,95.57,,-0.03%
11/1/2021,95.99,94.13,96.94,93.82,,1.99%
10/1/2021,94.12,94.31,94.56,93.28,,-0.11%
9/1/2021,94.23,92.66,94.5,91.95,,1.73%
8/1/2021,92.63,92.09,93.73,91.82,,0.49%
7/1/2021,92.17,92.35,93.19,91.78,,-0.28%
6/1/2021,92.44,89.81,92.45,89.66,,2.67%
5/1/2021,90.03,91.3,91.44,89.54,,-1.37%
4/1/2021,91.28,93.22,93.34,90.42,,-2.09%
3/1/2021,93.23,90.93,93.44,90.63,,2.59%
2/1/2021,90.88,90.53,91.6,89.68,,0.33%
1/1/2021,90.58,89.93,90.95,89.21,,0.72%
12/1/2020,89.94,91.94,91.94,89.52,,-2.10%
11/1/2020,91.87,93.89,94.3,91.51,,-2.31%
10/1/2020,94.04,93.8,94.1,92.47,,0.16%
