Date,Open,High,Low,Close,Adj Close,Volume
2022-07-06,8.560000,8.680000,8.310000,8.440000,8.440000,163700
2022-07-07,8.490000,8.780000,8.310000,8.430000,8.430000,357700
2022-07-08,8.290000,8.310000,7.820000,7.840000,7.840000,369800
2022-07-11,7.920000,8.120000,7.320000,7.370000,7.370000,373000
2022-07-12,7.360000,7.620000,7.220000,7.540000,7.540000,255100
2022-07-13,7.430000,7.430000,7.090000,7.190000,7.190000,304500
2022-07-14,7.180000,7.390000,7.090000,7.360000,7.360000,181700
2022-07-15,7.480000,7.730000,7.320000,7.620000,7.620000,195600
2022-07-18,7.680000,7.890000,7.610000,7.670000,7.670000,140200
2022-07-19,7.750000,7.800000,7.440000,7.610000,7.610000,170600
2022-07-20,7.700000,7.930000,7.480000,7.630000,7.630000,210100
2022-07-21,7.650000,7.650000,7.120000,7.620000,7.620000,242400
2022-07-22,7.660000,7.830000,7.480000,7.600000,7.600000,210100
2022-07-25,7.580000,7.780000,7.580000,7.740000,7.740000,140100
2022-07-26,7.610000,7.770000,7.530000,7.650000,7.650000,133000
2022-07-27,7.680000,7.700000,7.270000,7.570000,7.570000,192700
2022-07-28,7.620000,7.840000,7.360000,7.800000,7.800000,274500
2022-07-29,7.960000,8.790000,7.950000,8.580000,8.580000,594200
2022-08-01,8.550000,8.800000,8.410000,8.680000,8.680000,292300
2022-08-02,8.460000,8.800000,8.370000,8.440000,8.440000,226500
2022-08-03,8.490000,8.750000,8.270000,8.400000,8.400000,220800
2022-08-04,8.400000,8.650000,8.370000,8.650000,8.650000,270400
2022-08-05,8.540000,9.390000,8.470000,9.340000,9.340000,467300
2022-08-08,9.400000,9.750000,9.390000,9.730000,9.730000,402500
2022-08-09,9.620000,9.930000,9.130000,9.430000,9.430000,434300
2022-08-10,9.530000,9.640000,9.030000,9.550000,9.550000,290300
2022-08-11,9.690000,9.890000,9.560000,9.830000,9.830000,242700
2022-08-12,9.850000,9.890000,9.540000,9.830000,9.830000,150400
2022-08-15,9.780000,10.050000,9.630000,9.910000,9.910000,197600
2022-08-16,9.850000,9.960000,9.400000,9.600000,9.600000,152100
2022-08-17,9.590000,9.590000,8.720000,9.200000,9.200000,291300
2022-08-18,9.250000,9.400000,9.080000,9.320000,9.320000,132000
2022-08-19,9.180000,9.380000,9.080000,9.280000,9.280000,178000
2022-08-22,9.270000,9.270000,9.020000,9.140000,9.140000,127000
2022-08-23,9.140000,9.290000,8.990000,9.210000,9.210000,119700
2022-08-24,9.170000,9.360000,9.090000,9.100000,9.100000,73100
2022-08-25,9.180000,9.400000,9.110000,9.330000,9.330000,96400
